"StoreNo"|"StoreNickname"|"StreetAddress"|"City"|"StateCode"|"PostalCode"|"CountryName"|"Longitude"|"Latitude"|"PhoneNumber"|"RestaurantEmail"|"SunOpen"|"SunClose"|"MonOpen"|"MonClose"|"TueOpen"|"TueClose"|"WedOpen"|"WedClose"|"ThuOpen"|"ThuClose"|"FriOpen"|"FriClose"|"SatOpen"|"SatClose"|"QSCExceptions"|"Master"|"EntityName"
"518"|""|"CIRCUITO CENTRO COMERCIAL NO 23, ZONA COMERCIAL CENTRO SATELITE"|"NAUCALPAN DE JUAREZ"|"XX"|"53100"|"Mexico"|"-99.23097"|"19.51404"|"011 52 55 5393 8744"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"529"|""|"INSURGENTES SUR 2110 COLONIA CHIMALISTAC DELEGACION"|"ALVARO OBREGON"|"XX"|"1070"|"Mexico"|"-99.18787"|"19.34576"|"011 52 55 2978 0253"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"548"|""|"DIVISION DEL NORTE CALZADA DEL LAS BOMBAS 60"|"COYOACAN"|"XX"|"4899"|"Mexico"|"-99.13314"|"19.30899"|"011 52 55 5678 4715"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"553"|""|"LIVERPOOL 149 COLONIA JUAREZ"|"CUAUHTEMOC"|"XX"|"6600"|"Mexico"|"-99.16467"|"19.42413"|"011 52 55 5207 1795"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"566"|""|"MANUEL AVILA CAMACHO NO. 3130"|"TLALNEPANTLA"|"XX"|"54020"|"Mexico"|"-99.20663"|"19.43019"|"55-53059473"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"579"|""|"RIO BAMBA #640 COLONIA LINDA VISTA"|"GUSTAVO A. MADERO"|"XX"|"7300"|"Mexico"|"-99.13033"|"19.48705"|"011 52 55 5752 5296"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"586"|""|"AGUAYO 12 COLONIA EL CARMEN"|"COYOACAN"|"XX"|"4100"|"Mexico"|"-99.16276"|"19.35073"|"011 52 55 5656 5754"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"638"|""|"AV. EL ROSARIO 1025 COL. TIERRA NUEVA"|"AZCAPOTZALCO"|"XX"|"2120"|"Mexico"|"-99.20277"|"19.50334"|"011 52 55 5373-2986"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"664"|""|"LADERA 16 ESQUINA PERIFERICO SUR COL JARDINES DEL PEDREGAL"|"COYOACAN"|"XX"|"1900"|"Mexico"|"-99.20245"|"19.30548"|"011-52-55-5652-5685"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"685"|""|"BLVD. RIO CHURUBUSCO 1072 COL. NUEVA ROSITA"|"IZTACALCO"|"XX"|"9420"|"Mexico"|"-99.10190"|"19.37972"|"011-52-55-56499929"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"693"|""|"GALERIA NORTE MALL BLVD LUIS DONALDO COLOSIO 2693"|"NOGALES"|"XX"|"84063"|"Mexico"|"-110.94532"|"31.29259"|"011-52-631 3145928"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"695"|""|"57 CONSTITUYENTE COL. CIMATARIO"|"QUERETARO"|"XX"|"76030"|"Mexico"|"-100.39319"|"20.58410"|"011-52-44-2212-0550"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"701"|""|"CAFETALES 1723 COLONIA HACIENDAS DE COYOACAN"|"COYOACAN"|"XX"|"4970"|"Mexico"|"-99.11280"|"19.30143"|"011-52-55-5594-5682"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
