Address Line 1,Address Line 2,Area Manager,Breakfast,Cakes,City,Concept,Core Menu,Country,DMA Code,DMA Name,District Code,District Name,Drive-thru,Escalation 1,Escalation 2,Franchisee Email,Franchisee Name,Franchisee Phone,Last Modernization Date,Open Date,Region Code,Region Name,Store Email,Store Name,Store Number,Store Phone,Temp Closed,Venue Type,ZIP
"Plaza de la Danza Local 10-4 Blvd. Marina S/N Cabo San Lucas, Baja California, C.P.",,dqcabo@hotmail.com,N,Y,Cabo San Lucas,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX02,DQ Cabo,N,,,michaelhgordon1@aol.com,DQ Cabo S. De R.L. De C.V.,0115216241475458,,2000-12-31,MEX,Mexico,dqcabo@hotmail.com,PLAZA DE LA DANZA,11098,011526241432858,N,Strip Center,23410
Plaza Loreto,"CENTRO COMERCIAL PLAZA LORETO LOC. 117, ALTAMIRANO No. 46 COL. TIZAPAN SAN ANGEL ENTRE EJE 10 SUR Y REVOLUCION DEL. ALVARO OBREGON CDMX",jcruz@hdgmx.com,N,Y,Mexico City D.F.,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,jsantiago@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,1995-12-10,1995-12-10,MEX,Mexico,dqloreto@hdgmx.com,LORETO,11391,0115556163162,N,Mall - Food Court,01090
"Reforma #41, Col. Alameda. CENTRO COMERCIAL LA GRAN PLAZA Loc F-41",,aalvarez@ggef.mx,N,Y,Mazatlan,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2000-12-31,MEX,Mexico,gmedina@ggef.mx,GRAN PLAZA,13976,011526622566334,N,Mall - In-line,82123
"Av. Abedules #264-A Col. Los Pinos, Entre Av. México y Jesús D Rojas González",,rodrigo.martinez@dequ.mx,N,Y,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,Y,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,2000-12-31,2000-12-31,MEX,Mexico,dqabedules@gmail.com,ABEDULES,19768,38132860,N,Free-Standing,45120
Blvd Kino 510 Esq. Yocupicio y alvarado Col. Pitic,,aburruel@ggef.mx,N,Y,Hermosillo,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2000-12-31,MEX,Mexico,cloredo@ggef.mx,PITIC,19769,011526622566334,N,Free-Standing,83150
"Av. Adolfo Lopez Mateos No.2375 Local 27 H Col. Cd. Del Sol, Zapopan",Plaza Del Sol,ismael.torres@dequ.mx,N,Y,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,N,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,1996-08-01,1996-08-01,MEX,Mexico,dqplazadelsol@gmail.com,PLAZA DEL SOL,40256,31220039,N,Mall - In-line,45050
Luis Donaldo Colosio s/n Esq con Periferico Col. Satelite,,mmariscal@GGEF.MX,N,Y,Hermosillo,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,1996-08-01,MEX,Mexico,ltrillas@ggef.mx,CINEMARK,40257,011526622566334,N,Free-Standing,83200
"AV. SAN FERNANDO No.649-34, COL. PEÑA POBRE DEL. TLALPAN ENTRE INSURG. SUR Y ZAPOTE.",,tgarcia@hdgmx.com,N,N,Mexico City,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,jsantiago@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,1997-12-18,1997-12-18,MEX,Mexico,dqcuicuilco@hdgmx.com,CUICUILCO,40334,0115556656550,N,Mall - Food Court,14060
"AV. EJERCITO NACIONAL No.980-203 COL. CHAPULTEPEC MORALES, ENTRE JUAN VAZQUEZ DE MELLA Y ANTIGUO FERROCARRIL DE CUERNAVACA DEL. MIGUEL",,,N,Y,Mexico City,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,jsantiago@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,1998-03-26,1998-03-26,MEX,Mexico,dqpolanco@hdgmx.com,PABELLON POLANCO,40580,0115555571162,Y,Mall - In-line,11650
"Colosio #52 esquina con Rosales, col. Centro. Frente al centro de las artes de la UNISON",,mmariscal@GGEF.MX,N,Y,Hermosillo,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2000-08-14,MEX,Mexico,ddominguez@ggef.mx,UNIVERSIDAD,40855,011526622566334,N,Free-Standing,83000
